TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Apartamento en venta,7544993,0 m²,48.0m²,3229166,2,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,154999968
Casa en venta,7268619,0 m²,82.0m²,3536585,3,más de 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,289999970
Casa en venta,7221782,0 m²,94.0m²,3989361,3,Sin información,3,3,0,Engativá - Bogotá,Preguntar al anunciante,374999934
Apartamento en venta,7269151,0 m²,42.0m²,5952380,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,249999960
Casa en venta,6936747,0 m²,192.0m²,2343750,3,más de 30 años,10,3,0,Engativá - Bogotá,Preguntar al anunciante,450000000
Apartamento en venta,6292617,0 m²,74.0m²,4121621,3,Sin información,3,2,1,Engativá - Bogotá,Preguntar al anunciante,304999954
Apartamento en venta,6499290,0 m²,84.0m²,3869047,3,Sin información,3,2,1,Engativá - Bogotá,Preguntar al anunciante,324999948
Casa en venta,7269118,0 m²,616.0m²,2435064,3,16 a 30 años,11,8,2,Engativá - Bogotá,Preguntar al anunciante,1499999424
Apartamento en venta,7312927,0 m²,58.0m²,4310344,3,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,249999952
Casa en venta,7287789,0 m²,200.0m²,3400000,4,16 a 30 años,4,5,4,Engativá - Bogotá,Preguntar al anunciante,680000000
Apartamento en venta,7409519,0 m²,71.0m²,4225352,4,Sin información,3,2,1,Engativá - Bogotá,Preguntar al anunciante,299999992
Apartamento en venta,7564474,0 m²,71.0m²,3239436,3,9 a 15 años,4,2,0,Engativá - Bogotá,Preguntar al anunciante,229999956
Casa en venta,7277931,0 m²,240.0m²,1875000,3,más de 30 años,8,4,1,Engativá - Bogotá,Preguntar al anunciante,450000000
Apartamento en venta,7409553,0 m²,80.0m²,4000000,4,9 a 15 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,320000000
